geneNames	start	end	chr	entrezgene
ENSG00000196581	AJAP1	4714792	4852594	1	55966
ENSG00000260972	RP1-58B11.1	5553038	5554734	1	NA
ENSG00000131697	NPHP4	5922871	6052533	1	261734
ENSG00000069424	KCNAB2	6051526	6161253	1	8514
ENSG00000116254	CHD5	6161853	6240183	1	26038
ENSG00000116251	RPL22	6241329	6269449	1	6146
ENSG00000226944	RP1-120G22.11	6264900	6265840	1	102724450
ENSG00000158286	RNF207	6265535	6281359	1	388591
ENSG00000116237	ICMT	6281253	6296032	1	23463
ENSG00000225077	LINC00337	6296300	6299504	1	148645
ENSG00000158292	GPR153	6307406	6321035	1	387509
ENSG00000097021	ACOT7	6324329	6454451	1	11332
ENSG00000271746	RP1-202O8.3	6453615	6454451	1	NA
ENSG00000069812	HES2	6472478	6484730	1	54626
ENSG00000187017	ESPN	6484848	6521430	1	83715
ENSG00000231868	RP1-202O8.2	6503094	6507066	1	NA
ENSG00000215788	TNFRSF25	6521211	6526255	1	8718
ENSG00000171680	PLEKHG5	6526152	6580121	1	57449
ENSG00000162408	NOL9	6581407	6614595	1	79707
ENSG00000173662	TAS1R1	6615241	6639817	1	80835
ENSG00000204859	ZBTB48	6640061	6649340	1	3104
ENSG00000162413	KLHL21	6650784	6674667	1	9903
ENSG00000116273	PHF13	6673745	6684093	1	148479
ENSG00000041988	THAP3	6684926	6695646	1	90326
ENSG00000007923	DNAJC11	6694228	6761984	1	55735
ENSG00000228750	RP11-242F24.1	6784697	6790072	1	100505887
ENSG00000171735	CAMTA1	6845384	7829766	1	23261
ENSG00000237728	RP3-453P22.2	7442548	7449814	1	NA
ENSG00000225126	RP4-549F15.1	7501156	7501614	1	NA
ENSG00000270171	RP11-338N10.1	7753184	7754904	1	NA
ENSG00000270035	RP11-338N10.2	7758363	7758932	1	NA
ENSG00000269978	RP11-338N10.3	7760764	7761030	1	NA
ENSG00000049245	VAMP3	7831329	7841492	1	9341
ENSG00000269925	RP3-467L1.6	7836443	7836835	1	NA
ENSG00000049246	PER3	7844380	7905237	1	8863
ENSG00000236266	RP3-467L1.4	7870302	7887402	1	NA
ENSG00000049247	UTS2	7903143	7913572	1	10911
ENSG00000049249	TNFRSF9	7979907	8000926	1	3604
ENSG00000270330	RP5-892F13.2	8002432	8002786	1	NA
ENSG00000116288	PARK7	8014351	8045565	1	11315
ENSG00000116285	ERRFI1	8064464	8086368	1	54206
ENSG00000238290	RP11-431K24.1	8086798	8182762	1	NA
ENSG00000162426	SLC45A1	8377886	8404227	1	50651
ENSG00000142599	RERE	8412457	8877702	1	473
ENSG00000232912	RP5-1115A15.1	8484705	8494898	1	102724552
ENSG00000074800	ENO1	8921061	8939308	1	2023
ENSG00000236269	ENO1-IT1	8935847	8938066	1	NA
ENSG00000230679	ENO1-AS1	8938894	8939953	1	100505975
ENSG00000131686	CA6	9005926	9035151	1	765
ENSG00000142583	SLC2A5	9095166	9148537	1	6518
ENSG00000180758	GPR157	9160364	9189229	1	80045
ENSG00000234546	RP3-510D11.2	9242263	9252148	1	102724571
ENSG00000049239	H6PD	9294834	9331396	1	9563
ENSG00000171621	SPSB1	9352939	9429591	1	80176
ENSG00000235263	RP13-392I16.1	9561151	9563530	1	NA
ENSG00000171612	SLC25A33	9599541	9645237	1	84275
ENSG00000231181	RP13-15M17.1	9636485	9637043	1	NA
ENSG00000188807	TMEM201	9648932	9674935	1	199953
ENSG00000171608	PIK3CD	9711790	9789172	1	5293
ENSG00000179840	C1orf200	9712668	9714644	1	644997
ENSG00000231789	RP11-558F24.4	9732484	9747613	1	101929074
ENSG00000171603	CLSTN1	9789084	9884584	1	22883
ENSG00000178585	CTNNBIP1	9908334	9970394	1	56998
ENSG00000223989	RP11-84A14.5	9908376	9910212	1	NA
ENSG00000162441	LZIC	9982173	10003465	1	84328
ENSG00000173614	NMNAT1	10003486	10045559	1	64802
ENSG00000241326	RP11-807G9.2	10043199	10044626	1	NA
ENSG00000162444	RBP7	10057264	10076078	1	116362
ENSG00000130939	UBE4B	10092890	10241297	1	10277
ENSG00000054523	KIF1B	10270863	10441661	1	23095
ENSG00000264501	RN7SL731P	10366523	10366813	1	NA
ENSG00000142657	PGD	10458649	10480201	1	5226
ENSG00000271989	RP4-736L20.3	10489938	10490734	1	NA
ENSG00000241563	CORT	10509776	10511959	1	1325
ENSG00000160049	DFFA	10516579	10532583	1	1676
ENSG00000203469	RP5-1113E3.3	10518612	10519395	1	NA
ENSG00000142655	PEX14	10532345	10690815	1	5195
ENSG00000130940	CASZ1	10696661	10856707	1	54897
ENSG00000272078	RP4-734G22.3	10699298	10714390	1	NA
ENSG00000175262	C1orf127	11006528	11042094	1	148345
ENSG00000120948	TARDBP	11072414	11085796	1	23435
ENSG00000009724	MASP2	11086580	11107290	1	10747
ENSG00000271895	RP4-635E18.8	11089716	11090585	1	NA
ENSG00000116649	SRM	11114641	11120081	1	6723
ENSG00000171824	EXOSC10	11126675	11159938	1	5394
ENSG00000226849	RP4-635E18.7	11128528	11133154	1	NA
ENSG00000230337	RP4-635E18.6	11159732	11162157	1	105376736
ENSG00000198793	MTOR	11166592	11322564	1	2475
ENSG00000171819	ANGPTL7	11249398	11256038	1	10218
ENSG00000120942	UBIAD1	11333263	11356106	1	29914
ENSG00000204624	PTCHD2	11539223	11597641	1	57540
ENSG00000235643	RP1-69M21.2	11669588	11673412	1	101929181
ENSG00000116661	FBXO2	11708424	11715842	1	26232
ENSG00000132879	FBXO44	11714432	11723384	1	93611
ENSG00000116663	FBXO6	11724181	11734411	1	26270
ENSG00000116670	MAD2L2	11734537	11751707	1	10459
ENSG00000162490	DRAXIN	11751786	11785914	1	374946
ENSG00000177674	AGTRAP	11796141	11814859	1	57085
ENSG00000215910	C1orf167	11821844	11849642	1	284498
ENSG00000177553	RP11-56N19.5	11837134	11839676	1	102724659
ENSG00000177000	MTHFR	11845780	11866977	1	4524
ENSG00000011021	CLCN6	11866207	11903201	1	1185
ENSG00000242349	NPPA-AS1	11901074	11908136	1	NA
ENSG00000175206	NPPA	11905766	11908402	1	4878
ENSG00000120937	NPPB	11917521	11918988	1	4879
ENSG00000224904	RP5-934G17.6	11937827	11940463	1	NA
ENSG00000116685	KIAA2013	11979648	11986485	1	90231
ENSG00000083444	PLOD1	11994262	12035595	1	5351
ENSG00000116688	MFN2	12040238	12073571	1	9927
ENSG00000116691	MIIP	12079523	12092102	1	60672
ENSG00000120949	TNFRSF8	12123434	12204264	1	943
ENSG00000028137	TNFRSF1B	12227060	12269285	1	7133
ENSG00000048707	VPS13D	12290124	12572099	1	55187
ENSG00000239149	SNORA59A	12567300	12567451	1	677885
ENSG00000229484	RP5-888M10.2	12587766	12588462	1	NA
ENSG00000162496	DHRS3	12627939	12677737	1	9249
ENSG00000272482	RP11-474O21.5	12678906	12679250	1	NA
ENSG00000204518	AADACL4	12704566	12727097	1	343066
ENSG00000188984	AADACL3	12776118	12788726	1	126767
ENSG00000157330	C1orf158	12806163	12823847	1	93190
ENSG00000116721	PRAMEF1	12851546	12856777	1	65121
ENSG00000228338	RP5-845O24.8	12882549	12883022	1	105376745
ENSG00000204513	PRAMEF11	12884468	12891264	1	NA
ENSG00000120952	PRAMEF2	12916941	12921764	1	65122
ENSG00000231219	RP11-219C24.8	13379149	13381237	1	NA
ENSG00000162494	LRRC38	13801445	13840543	1	126755
ENSG00000259961	RP4-597A16.2	13839715	13842765	1	107984918
ENSG00000162493	PDPN	13909960	13944452	1	10630
ENSG00000116731	PRDM2	14026693	14151574	1	7799
ENSG00000189337	KAZN	14925200	15444539	1	23254
ENSG00000175147	TMEM51-AS1	15442448	15478960	1	200197
ENSG00000171729	TMEM51	15479028	15546976	1	55092
ENSG00000142621	FHAD1	15573768	15726779	1	114827
ENSG00000233485	RP3-467K16.2	15653176	15670372	1	NA
ENSG00000228140	RP3-467K16.4	15729475	15735929	1	NA
ENSG00000142634	EFHD2	15736391	15756839	1	79180
ENSG00000162438	CTRC	15764935	15775737	1	11330
ENSG00000142615	CELA2A	15783223	15798586	1	63036
ENSG00000215704	CELA2B	15792404	15817895	1	51032
ENSG00000132906	CASP9	15817327	15853029	1	842
ENSG00000116138	DNAJC16	15853308	15918874	1	23341
ENSG00000272510	RP4-680D5.8	15892106	15892451	1	NA
ENSG00000116771	AGMAT	15898848	15911605	1	79814
ENSG00000237301	RP4-680D5.2	15912631	15930121	1	NA
ENSG00000235084	CHCHD2P6	15931077	15931538	1	NA
ENSG00000197312	DDI2	15943995	15995539	1	84301
ENSG00000116786	PLEKHM2	16010827	16061264	1	23207
ENSG00000237938	RP11-288I21.1	16049214	16063391	1	NA
ENSG00000162461	SLC25A34	16062900	16067891	1	284723
ENSG00000224459	RP11-169K16.4	16066546	16076391	1	NA
ENSG00000162460	TMEM82	16068917	16074477	1	388595
ENSG00000162458	FBLIM1	16083102	16113089	1	54751
ENSG00000224321	RP11-169K16.6	16119291	16119780	1	NA
ENSG00000233954	RP11-169K16.7	16133679	16134194	1	440567
ENSG00000178715	RP11-169K16.8	16154724	16155167	1	NA
ENSG00000179743	RP11-169K16.9	16160560	16174642	1	729614
ENSG00000065526	SPEN	16174359	16266955	1	23013
ENSG00000116809	ZBTB17	16268364	16302627	1	7709
ENSG00000183888	C1orf64	16330731	16335302	1	149563
ENSG00000233078	RP11-5P18.5	16332655	16333166	1	NA
ENSG00000173641	HSPB7	16340523	16346089	1	27129
ENSG00000186510	CLCNKA	16345370	16360545	1	1187
ENSG00000232456	RP11-5P18.10	16361673	16366524	1	NA
ENSG00000184908	CLCNKB	16370272	16383803	1	1188
ENSG00000185519	FAM131C	16384264	16400127	1	348487
ENSG00000142627	EPHA2	16450832	16482582	1	1969
ENSG00000227959	RP11-276H7.2	16481706	16483824	1	NA
ENSG00000224621	RP11-276H7.3	16485761	16488378	1	NA
ENSG00000142632	ARHGEF19	16524349	16539104	1	128272
ENSG00000234166	ARHGEF19-AS1	16524349	16524852	1	NA
ENSG00000237276	ANO7P1	16542404	16554522	1	NA
ENSG00000204377	C1orf134	16555368	16556038	1	NA
ENSG00000132881	RSG1	16558195	16563657	1	79363
ENSG00000233929	MT1XP1	16567708	16567893	1	NA
ENSG00000037637	FBXO42	16573334	16678949	1	54455
ENSG00000055070	SZRD1	16679070	16724640	1	26099
ENSG00000226457	RP11-430L17.1	16695645	16696025	1	NA
ENSG00000187144	SPATA21	16713612	16763919	1	374955
ENSG00000157191	NECAP2	16767167	16786573	1	55707
ENSG00000226029	RP4-798A10.2	16787443	16794976	1	107984921
ENSG00000080947	CROCCP3	16793931	16825752	1	114819
ENSG00000261135	RP4-798A10.7	16841140	16842249	1	NA
ENSG00000225710	RP5-875O13.6	16875146	16879026	1	NA
ENSG00000219481	NBPF1	16888814	16940057	1	55672
ENSG00000215908	CROCCP2	16944751	16971178	1	84809
ENSG00000186301	MST1P2	16972069	16976914	1	11209
ENSG00000236698	EIF1AXP1	17012116	17012550	1	NA
ENSG00000268869	ESPNP	17013834	17046652	1	284729
ENSG00000058453	CROCC	17066768	17299474	1	9696
ENSG00000186715	MST1L	17081405	17096732	1	11223
ENSG00000238142	RP11-108M9.4	17215033	17216144	1	105376805
ENSG00000235241	RP11-108M9.5	17215590	17216097	1	NA
ENSG00000117122	MFAP2	17300997	17307330	1	4237
ENSG00000226526	RP1-37C10.3	17305421	17331586	1	NA
ENSG00000159363	ATP13A2	17312453	17338423	1	23400
ENSG00000117118	SDHB	17345217	17380665	1	6390
ENSG00000117115	PADI2	17393256	17445948	1	11240
ENSG00000204362	RP11-380J14.1	17516278	17524112	1	NA
ENSG00000142623	PADI1	17531621	17572500	1	29943
ENSG00000142619	PADI3	17575593	17610728	1	51702
ENSG00000159339	PADI4	17634690	17690499	1	23569
ENSG00000256049	PADI6	17698691	17728195	1	NA
ENSG00000179051	RCC2	17733256	17766220	1	55920
ENSG00000227751	RP1-20B21.4	17733256	17733878	1	NA
ENSG00000074964	ARHGEF10L	17866330	18024369	1	55160
ENSG00000117148	ACTL8	18081808	18153558	1	81569
ENSG00000261781	RP11-174G17.2	18392151	18400906	1	101927876
ENSG00000117154	IGSF21	18434240	18704977	1	84966
ENSG00000230035	RP11-174G17	18493423	18505840	1	NA
ENSG00000179023	KLHDC7A	18807424	18812478	1	127707
ENSG00000009709	PAX7	18957500	19075360	1	5081
ENSG00000159423	ALDH4A1	19197926	19229275	1	8659
ENSG00000169991	IFFO2	19230775	19283180	1	126917
ENSG00000272084	RP5-1126H10.2	19398604	19402005	1	NA
ENSG00000127481	UBR4	19401000	19536770	1	23352
ENSG00000230424	RP1-43E13.2	19536995	19567198	1	101927895
ENSG00000127463	EMC1	19542158	19578046	1	23065
ENSG00000053372	MRTO4	19578033	19586622	1	51154
ENSG00000211454	AKR7L	19592476	19600688	1	246181
ENSG00000162482	AKR7A3	19609052	19615744	1	22977
ENSG00000270728	RP4-657E11.10	19623574	19624397	1	NA
ENSG00000053371	AKR7A2	19630459	19638640	1	8574
ENSG00000040487	PQLC2	19638820	19655794	1	54896
ENSG00000077549	CAPZB	19665267	19812066	1	832
ENSG00000173436	MINOS1	19923477	19956314	1	440574
ENSG00000226396	RPS14P3	19934608	19935062	1	NA
ENSG00000158747	NBL1	19967048	19984945	1	4681
ENSG00000158748	HTR6	19991780	20006055	1	3362
ENSG00000162542	TMCO4	20008706	20126438	1	255104
ENSG00000178828	RNF186	20140523	20141771	1	54546
ENSG00000235434	RP11-91K11.2	20140860	20145995	1	NA
ENSG00000169914	OTUD3	20209006	20239438	1	23252
ENSG00000188784	PLA2G2E	20246502	20250110	1	30814
ENSG00000188257	PLA2G2A	20301925	20306932	1	5320
ENSG00000127472	PLA2G5	20354672	20417683	1	5322
ENSG00000117215	PLA2G2D	20438432	20446050	1	26279
ENSG00000158786	PLA2G2F	20465819	20476879	1	64600
ENSG00000227066	RP3-340N1.2	20480831	20487061	1	NA
ENSG00000187980	PLA2G2C	20487746	20503917	1	391013
ENSG00000225986	RP3-340N1.5	20510735	20512979	1	101928017
ENSG00000162543	UBXN10	20512578	20522541	1	127733
ENSG00000228105	RP3-340N1.6	20569588	20571148	1	NA
ENSG00000158816	VWA5B1	20617412	20681387	1	127731
ENSG00000236963	RP4-749H3.1	20687072	20757727	1	339505
ENSG00000162545	CAMK2N1	20808884	20812713	1	55450
ENSG00000090432	MUL1	20825943	20834654	1	79594
ENSG00000183114	FAM43B	20878932	20881512	1	163933
ENSG00000158825	CDA	20915441	20945401	1	978
ENSG00000158828	PINK1	20959948	20978004	1	65018
ENSG00000244038	DDOST	20978270	20988000	1	1650
ENSG00000117245	KIF17	20990507	21044510	1	57576
ENSG00000189410	SH2D5	21046225	21059330	1	400745
ENSG00000233069	RP5-930J4.2	21059373	21060445	1	NA
ENSG00000127483	HP1BP3	21069154	21113816	1	50809
ENSG00000203394	RP5-930J4.4	21069480	21070455	1	NA
ENSG00000075151	EIF4G3	21132963	21503377	1	8672
ENSG00000117298	ECE1	21543740	21671997	1	1889
ENSG00000231105	RP5-1071N3.1	21619783	21626267	1	100506801
ENSG00000227001	NBPF2P	21751118	21754460	1	NA
ENSG00000187952	HS6ST1P1	21754796	21756030	1	NA
ENSG00000142794	NBPF3	21766621	21811498	1	84224
ENSG00000162551	ALPL	21835858	21904905	1	249
ENSG00000233431	RP11-63N8.3	21912965	21917680	1	105376834
ENSG00000076864	RAP1GAP	21922708	21995801	1	5909
ENSG00000090686	USP48	22004791	22110099	1	84196
ENSG00000187942	LDLRAD2	22138758	22151714	1	401944
ENSG00000142798	HSPG2	22148738	22263790	1	3339
ENSG00000219073	CELA3B	22303514	22325135	1	23436
ENSG00000263991	RN7SL386P	22313974	22314268	1	NA
ENSG00000201919	RNU6-1022P	22314309	22314412	1	NA
ENSG00000142789	CELA3A	22328149	22339032	1	10136
ENSG00000263582	RN7SL768P	22330078	22330361	1	NA
ENSG00000263929	RN7SL186P	22337143	22337437	1	NA
ENSG00000201273	RNU6-776P	22337478	22337581	1	NA
ENSG00000228397	RP1-224A6.3	22350487	22351461	1	101928043
ENSG00000218510	LINC00339	22351681	22357716	1	29092
ENSG00000070831	CDC42	22379120	22419437	1	998
ENSG00000271840	RP1-224A6.9	22427106	22427853	1	NA
ENSG00000162552	WNT4	22443798	22470462	1	54361
ENSG00000184677	ZBTB40	22778344	22857650	1	9923
ENSG00000070886	EPHA8	22890057	22930087	1	2046
ENSG00000173372	C1QA	22962999	22966101	1	712
ENSG00000159189	C1QC	22970123	22974603	1	714
ENSG00000173369	C1QB	22979255	22988031	1	713
ENSG00000133216	EPHB2	23037332	23241818	1	2048
ENSG00000272796	RP1-74M1.3	23243175	23247993	1	NA
ENSG00000215906	LACTBL1	23279536	23291831	1	646262
ENSG00000227868	C1orf234	23337327	23342343	1	729059
ENSG00000004487	KDM1A	23345941	23410182	1	23028
ENSG00000240553	RP1-184J9.2	23346640	23414551	1	NA
ENSG00000169641	LUZP1	23410516	23504301	1	7798
ENSG00000179546	HTR1D	23516993	23521222	1	3352
ENSG00000215381	RP5-1057J7.1	23571258	23571717	1	NA
ENSG00000261326	RP5-1057J7.6	23607802	23613245	1	100996511
ENSG00000125944	HNRNPR	23630264	23670829	1	10236
ENSG00000125945	ZNF436	23685941	23695935	1	80818
ENSG00000271420	RP5-1057J7.7	23704873	23705522	1	NA
ENSG00000204219	TCEA3	23707554	23751233	1	6920
ENSG00000088280	ASAP3	23755056	23811061	1	55616
ENSG00000007968	E2F2	23832922	23857712	1	1870
ENSG00000117318	ID3	23884409	23886285	1	3399
ENSG00000197880	MDS2	23907985	23967058	1	259283
ENSG00000142676	RPL11	24018269	24022915	1	6135
ENSG00000011007	TCEB3	24069645	24088549	1	6924
ENSG00000236810	RP5-886K2.3	24086872	24104777	1	100506963
ENSG00000057757	PITHD1	24104895	24114722	1	57095
ENSG00000011009	LYPLA2	24117460	24122029	1	11313
ENSG00000117308	GALE	24122089	24127271	1	2582
ENSG00000117305	HMGCL	24128375	24165110	1	3155
ENSG00000179163	FUCA1	24171567	24194784	1	2517
ENSG00000188822	CNR2	24197016	24285549	1	1269
ENSG00000229106	RP11-4M23.2	24227961	24229227	1	NA
ENSG00000189266	PNRC2	24285599	24289952	1	55629
ENSG00000188529	SRSF10	24291294	24307417	1	10772
ENSG00000225315	RP11-293P20.2	24367325	24413289	1	NA
ENSG00000142661	MYOM3	24382525	24438665	1	127294
ENSG00000230703	RP11-293P20.4	24393264	24410055	1	NA
ENSG00000142677	IL22RA1	24446261	24469611	1	58985
ENSG00000185436	IFNLR1	24480647	24514449	1	163702
ENSG00000230023	RP11-10N16.2	24526730	24538183	1	284632
ENSG00000232298	RP11-10N16.3	24634046	24648391	1	105376871
ENSG00000158055	GRHL3	24645812	24690972	1	57822
